comune,pro_com_t,den_prov,ordinanza_trovata,tipo_trovato,numero_ordinanza,data_ordinanza,tipo_restrizione,fonte_url,note
Sant'Angelo di Brolo,083088,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Santa Teresa di Riva,083089,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Santo Stefano di Camastra,083091,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Saponara,083092,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Savoca,083093,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Spadafora,083096,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Taormina,083097,Messina,true,notizia_ordinanza,17,2024-07-12,Irrigazione giardini consentita solo 22:00-06:00 max 60 min; divieto lavaggio veicoli privati; divieto riempimento fontane ornamentali e piscine. Vigente fino al 31 ottobre 2024. Sanzioni fino a €50.,https://ilsicilia.it/crisi-idrica-a-taormina-arriva-lordinanza-contro-gli-sprechi-in-vigore-sino-al-31-ottobre/,Ordinanza n. 17 del 12 luglio 2024 del sindaco di Taormina (Cateno De Luca). Trovata tramite news locali (Il Sicilia). Ulteriori limitazioni al servizio idrico comunicate tramite QdS. Ordinanza ben documentata.
Tortorici,083099,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Tripi,083100,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Valdina,083103,Messina,false,,,,,,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Venetico,083104,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Villafranca Tirrena,083105,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Terme Vigliatore,083106,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Torrenova,083108,Messina,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Messina inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Alessandria della Rocca,084002,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale (delibera GR n.100/2023). Servito da AICA. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Aragona,084003,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Servito da AICA. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Bivona,084004,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Burgio,084005,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Camastra,084008,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Cammarata,084009,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Campobello di Licata,084010,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza di ordinanza risparmio idrico 2024. Trovata ordinanza di non potabilità (2025). Il Consorzio Tre Sorgenti serve Campobello di Licata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Canicattì,084011,Agrigento,true,ordinanza_sindacale,48,2024-06-18,"Ripristino distribuzione con divieto assoluto uso potabile (eccesso manganese/batteri da diga Fanaco) + restrizioni risparmio idrico: divieto irrigazione, lavaggio veicoli, piscine/fontane ornamentali. Revocata da ord. n.63/2024.",https://www.comune.canicatti.ag.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/6050,Ordinanza n.48 del 18/06/2024 con doppia funzione: non potabilità (qualità) e risparmio idrico. Contiene esplicito vademecum risparmio idrico con divieti d'uso non domestico. Successivamente revocata con ordinanza n.63/2024. Comunicato AICA del 19/06/2024 correlato: aicaonline.it. Provincia Agrigento inclusa nell'emergenza regionale.
Casteltermini,084012,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Castrofilippo,084013,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune servito da Consorzio Tre Sorgenti. Provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Cianciana,084015,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Comitini,084016,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Piccolo comune (600 ab.) nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Favara,084017,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica di ordinanza risparmio idrico trovata. Comune servito da AICA. Provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Grotte,084018,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune servito da Consorzio Tre Sorgenti. Provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Joppolo Giancaxio,084019,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Lampedusa e Linosa,084020,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza di ordinanza risparmio idrico 2024 trovata. Isola con problemi idrici storici e acquedotto autonomo. Trovata solo vecchia ordinanza di non potabilità (2016). Provincia di Agrigento inclusa nell'emergenza regionale. Sito comunale consultato. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Menfi,084023,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Montallegro,084024,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Montevago,084025,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Naro,084026,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune servito da Consorzio Tre Sorgenti. Provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Palma di Montechiaro,084027,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica di ordinanza risparmio idrico trovata. Comune servito da Consorzio Tre Sorgenti. Sito istituzionale consultato (comune.palmadimontechiaro.ag.it). Provincia di Agrigento inclusa nell'emergenza regionale. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Raffadali,084030,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Servito da AICA. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Ribera,084033,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza di ordinanza risparmio idrico trovata. Trovati solo articoli su riduzione dei turni di erogazione da AICA nel 2024 (marzo-aprile 2024). Provincia di Agrigento inclusa nell'emergenza regionale. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Sambuca di Sicilia,084034,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica di ordinanza risparmio idrico trovata. Comune con diga Garcia (fonte della contaminazione salmonella del novembre 2024). Provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
San Biagio Platani,084035,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Santa Elisabetta,084037,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Santa Margherita di Belice,084038,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Santo Stefano Quisquina,084040,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Sciacca,084041,Agrigento,true,notizia_ordinanza,,2024,Divieto uso acqua potabile per lavaggio auto e veicoli; divieto lavaggio marciapiedi; divieto innaffiatura giardini (consentita di notte). Inoltre ord. separata su non potabilità in vie Lido e Vassallo.,https://www.corrieredisciacca.it/crisi-idrica-arriva-lordinanza-anti-spreco-divieto-uso-acqua-potabile-per-lavare-auto/,Ordinanza anti-spreco risparmio idrico 2024 trovata tramite Corriere di Sciacca. Numero ordinanza non rilevato (articolo non disponibile). Anche ordinanza separata di non potabilità per serbatoio Mura di Vega (diverse contrade). Due distinti provvedimenti nel 2024.
Villafranca Sicula,084043,Agrigento,false,decisione_azienda,,,,https://www.aicaonline.it/argomenti/comunicati-stampa/,"Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Agrigento inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AICA (gestore AG) in crisi idrica nel 2024: potenziamento autobotti per tutti i comuni gestiti (mag 2024), interruzioni acquedotti, riduzioni forniture. Nessuna ordinanza sindacale specifica trovata."
Bompensiere,085002,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Caltanissetta inclusa nell'emergenza regionale (delibera GR n.100/2023). Ricerca effettuata su siti istituzionali e news locali. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Butera,085003,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Comune nella provincia di Caltanissetta inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Campofranco,085005,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Comune nella provincia di Caltanissetta inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Gela,085007,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza di ordinanza risparmio idrico 2024 trovata nonostante ricerche specifiche. Gela è citata come sede di uno dei tre impianti di desalinizzazione previsti. Servita da Caltaqua. Provincia di Caltanissetta inclusa nell'emergenza regionale. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Marianopoli,085008,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Caltanissetta inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Milena,085010,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Caltanissetta inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Niscemi,085013,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Comune nella provincia di Caltanissetta inclusa nell'emergenza regionale. Servito da Caltaqua. Ricerca approfondita effettuata. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Resuttano,085014,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Caltanissetta inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Riesi,085015,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Comune nella provincia di Caltanissetta inclusa nell'emergenza regionale. Servito da Caltaqua. Ricerca effettuata su siti istituzionali e news locali. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
San Cataldo,085016,Caltanissetta,false,decisione_azienda,4,2024-05-07,Divieto temporaneo consumo acqua per uso alimentare (per torbidità Caltaqua),https://www.caltaqua.it/,"Ordinanza n.4 del 07/05/2024: divieto temporaneo consumo acqua per uso alimentare e sospensione mensa scolastica per torbidità oltre i limiti. Poi revocata. Si tratta di ordinanza di non potabilità (emergenza puntuale), non di risparmio idrico strutturale. Marcata false per coerenza con l'oggetto della ricerca. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata."
Santa Caterina Villarmosa,085017,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Comune nella provincia di Caltanissetta inclusa nell'emergenza regionale. Servito da Caltaqua. Ricerca effettuata su siti istituzionali e news locali. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Sutera,085020,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Piccolo comune nella provincia di Caltanissetta inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Vallelunga Pratameno,085021,Caltanissetta,false,decisione_azienda,,,,https://www.caltaqua.it/,Nessuna evidenza specifica trovata. Comune nella provincia di Caltanissetta inclusa nell'emergenza regionale. Servito da Caltaqua. Ricerca effettuata su siti istituzionali e news locali. Caltaqua (gestore CL) ha rimodulato la distribuzione da giugno 2024 (turni ogni 3-4 giorni) per calo forniture Siciliacque + aumento consumi estivi. Nessuna ordinanza sindacale specifica trovata.
Agira,086001,Enna,false,decisione_azienda,,,,https://www.acquaenna.it/index.php/category/avvisi/,"Nessuna evidenza specifica trovata. Comune nella provincia di Enna inclusa nell'emergenza regionale (delibera GR n.100/2023). Servito da AcquaEnna. Numerose sospensioni idriche nel 2024 per riduzione invasi. Ricerca effettuata su siti istituzionali e news locali. AcquaEnna ha disposto rimodulazione erogazione idrica da marzo 2024 (-25% Ancipa), con progressivo inasprimento: turnazioni ogni 3-7 giorni da agosto-settembre 2024 (decisione Cabina di Regia emergenza idrica). Nessuna ordinanza sindacale specifica trovata."
Aidone,086002,Enna,false,decisione_azienda,,,,https://www.acquaenna.it/index.php/category/avvisi/,"Nessuna evidenza specifica trovata. Comune nella provincia di Enna inclusa nell'emergenza regionale. Servito da AcquaEnna. Ricerca effettuata su siti istituzionali e news locali. AcquaEnna ha disposto rimodulazione erogazione idrica da marzo 2024 (-25% Ancipa), con progressivo inasprimento: turnazioni ogni 3-7 giorni da agosto-settembre 2024 (decisione Cabina di Regia emergenza idrica). Nessuna ordinanza sindacale specifica trovata."
Assoro,086003,Enna,false,decisione_azienda,,,,https://www.acquaenna.it/index.php/category/avvisi/,"Nessuna evidenza specifica trovata. Comune nella provincia di Enna inclusa nell'emergenza regionale. Servito da AcquaEnna. Ricerca effettuata su siti istituzionali e news locali. AcquaEnna ha disposto rimodulazione erogazione idrica da marzo 2024 (-25% Ancipa), con progressivo inasprimento: turnazioni ogni 3-7 giorni da agosto-settembre 2024 (decisione Cabina di Regia emergenza idrica). Nessuna ordinanza sindacale specifica trovata."
Barrafranca,086004,Enna,false,decisione_azienda,,,,https://www.acquaenna.it/index.php/category/avvisi/,"Nessuna evidenza specifica trovata. Comune nella provincia di Enna inclusa nell'emergenza regionale. Servito da AcquaEnna. Nel 2024 aggiornamento turni erogazione idrica (ogni 4 giorni). Ricerca effettuata su siti istituzionali e news locali. AcquaEnna ha disposto rimodulazione erogazione idrica da marzo 2024 (-25% Ancipa), con progressivo inasprimento: turnazioni ogni 3-7 giorni da agosto-settembre 2024 (decisione Cabina di Regia emergenza idrica). Nessuna ordinanza sindacale specifica trovata."
Calascibetta,086005,Enna,false,decisione_azienda,,,,https://www.acquaenna.it/index.php/category/avvisi/,"Nessuna evidenza specifica trovata. Comune nella provincia di Enna inclusa nell'emergenza regionale. Servito da AcquaEnna. Ricerca effettuata su siti istituzionali e news locali. AcquaEnna ha disposto rimodulazione erogazione idrica da marzo 2024 (-25% Ancipa), con progressivo inasprimento: turnazioni ogni 3-7 giorni da agosto-settembre 2024 (decisione Cabina di Regia emergenza idrica). Nessuna ordinanza sindacale specifica trovata."
Catenanuova,086006,Enna,false,,,,,,Nessuna evidenza specifica trovata. Comune nella provincia di Enna inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali.
Cerami,086008,Enna,false,decisione_azienda,,,,https://www.acquaenna.it/index.php/category/avvisi/,"Nessuna evidenza specifica trovata. Comune nella provincia di Enna inclusa nell'emergenza regionale. Ricerca effettuata su siti istituzionali e news locali. AcquaEnna ha disposto rimodulazione erogazione idrica da marzo 2024 (-25% Ancipa), con progressivo inasprimento: turnazioni ogni 3-7 giorni da agosto-settembre 2024 (decisione Cabina di Regia emergenza idrica). Nessuna ordinanza sindacale specifica trovata."
Gagliano Castelferrato,086010,Enna,false,decisione_azienda,,,,https://www.acquaenna.it/index.php/category/avvisi/,"Nessuna evidenza specifica trovata. Comune nella provincia di Enna inclusa nell'emergenza regionale. Servito da AcquaEnna. Ricerca effettuata su siti istituzionali e news locali. AcquaEnna ha disposto rimodulazione erogazione idrica da marzo 2024 (-25% Ancipa), con progressivo inasprimento: turnazioni ogni 3-7 giorni da agosto-settembre 2024 (decisione Cabina di Regia emergenza idrica). Nessuna ordinanza sindacale specifica trovata."
Leonforte,086011,Enna,true,notizia_ordinanza,27,2024-07-05,"Misure urgenti risparmio idrico: obbligo per tutti i cittadini di attuare misure di risparmio idrico nell'intero territorio comunale, con immediata efficacia",https://www.comune.leonforte.en.it/tag/acqua/,Ordinanza n.27 del 05/07/2024 del sindaco di Leonforte. Evidenza da risultati di ricerca web; pagina ufficiale del comune non più accessibile (410). Provincia di Enna inclusa nell'emergenza regionale (delibera GR n.100/2023).
Nicosia,086012,Enna,false,decisione_azienda,,,,https://www.acquaenna.it/index.php/category/avvisi/,"Nessuna evidenza di ordinanza risparmio idrico 2024 trovata. Trovata solo ordinanza di non potabilità (agosto 2025 - fuori perimetro). Servito da AcquaEnna. Provincia di Enna inclusa nell'emergenza regionale. AcquaEnna ha disposto rimodulazione erogazione idrica da marzo 2024 (-25% Ancipa), con progressivo inasprimento: turnazioni ogni 3-7 giorni da agosto-settembre 2024 (decisione Cabina di Regia emergenza idrica). Nessuna ordinanza sindacale specifica trovata."
